1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
43,0,1,1,4,2,20,19,16,18,11,5,205,69,42,182,38,64,1,98,74,80,0,0,0,0
155,208,27,29,25,35,5,7,7,21,4,12,8,2,3,14,1,5,6,46,2,3,0,0,0,0
19,8,7,8,9,4,17,9,9,12,14,14,1,5,2,16,5,14,4,4,1,1,0,0,0,0
0,0,9,31,3,1,0,0,1,3,2,2,2,0,91,68,88,153,75,167,81,102,0,0,0,0
9,20,22,18,16,16,12,17,5,11,5,8,6,4,9,14,186,6,61,4,27,19,0,0,0,0
155,6,293,0,0,83,68,2,2,1,1,5,0,108,4,3,0,0,0,1,2,561,0,0,0,0
20,4,5,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4,5,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,371,262,34,156,245,60,132,96,18,150,198,16,89,22,177,55,187,193,37,68,199,0,0,0,0
248,174,160,10,19,212,9,55,12,11,79,12,4,78,11,94,51,96,184,35,3,10,0,0,0,0
44,81,69,4,107,33,51,77,83,6,35,5,7,3,5,4,1,87,6,2,65,188,0,0,0,0
46,116,33,20,30,0,0,0,1,1,36,181,5,8,6,79,3,4,3,0,0,1,0,0,0,0
71,58,50,76,81,72,44,53,85,109,103,93,73,87,125,107,146,122,62,63,39,26,0,0,0,0
23,14,12,8,47,17,14,24,23,30,22,67,54,55,53,72,86,19,50,32,21,10,0,0,0,0
22,4,0,0,0,7,0,0,0,0,0,0,0,0,42,1,47,88,0,0,0,0,0,0,0,0
26,40,38,68,34,48,30,29,62,79,81,26,19,32,30,34,13,15,12,31,18,16,0,0,0,0
25,66,27,45,160,36,44,32,102,21,16,27,18,23,11,11,22,41,10,8,4,4,0,0,0,0
8,16,9,4,29,6,36,23,19,11,3,4,12,4,7,6,16,39,5,2,0,1,0,0,0,0
17,50,18,41,131,30,8,9,83,10,13,23,6,19,4,5,6,2,5,6,4,3,0,0,0,0
2,33,19,196,170,14,5,19,0,67,6,85,0,0,0,3,1,1,0,0,1,14,0,0,0,0
2,33,19,196,170,14,5,19,0,67,6,85,0,0,0,3,1,1,0,0,1,14,0,0,0,0
73,142,138,151,81,185,55,121,386,171,248,187,86,199,107,115,347,356,378,441,698,746,0,0,0,0
28,51,61,40,18,38,23,8,206,106,161,115,11,134,54,29,304,260,331,409,653,402,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,0,200,138,154,168,141,0,0,0,0,0
4,5,0,0,0,0,0,0,0,8,0,1,0,59,0,1,1,0,2,0,0,132,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,40,0,0,0,0,0,0,0
1,1,27,6,10,22,10,1,187,91,89,106,0,69,5,28,89,115,131,133,495,263,0,0,0,0
23,45,34,34,8,16,13,7,19,9,72,8,9,6,16,2,11,7,4,108,17,7,0,0,0,0
0,0,0,15,0,76,0,86,144,0,15,0,0,0,0,52,0,28,0,0,0,262,0,0,0,0
0,0,0,15,0,76,0,86,144,0,15,0,0,0,0,52,0,28,0,0,0,262,0,0,0,0
8,24,15,44,10,4,5,4,19,4,23,13,52,39,24,8,15,36,6,4,10,17,0,0,0,0
7,15,12,38,5,0,3,3,7,4,9,7,5,5,15,6,15,36,3,4,8,7,0,0,0,0
1,9,3,6,5,4,2,1,12,0,14,6,47,34,9,2,0,0,3,0,2,10,0,0,0,0
37,67,62,52,53,62,22,11,3,55,39,52,17,20,24,19,28,29,33,25,25,61,0,0,0,0
7,13,46,36,39,34,6,1,1,44,20,35,10,19,4,15,25,15,21,6,12,4,0,0,0,0
30,54,16,16,14,28,16,10,2,11,19,17,7,1,20,4,3,14,12,19,13,57,0,0,0,0
0,0,0,0,0,5,5,12,14,7,10,7,7,6,5,7,0,3,8,3,10,4,0,0,0,0
0,0,0,0,0,3,0,1,0,1,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,2,5,11,14,6,9,3,7,5,5,7,0,3,8,2,10,4,0,0,0,0
251,312,199,159,362,476,728,619,454,114,205,187,79,346,716,822,445,678,508,498,723,733,0,0,0,0
233,220,187,119,297,352,615,424,413,29,149,131,55,128,343,48,315,322,233,126,322,249,0,0,0,0
59,92,8,0,119,0,5,0,0,2,1,7,4,0,1,0,0,5,0,2,8,0,0,0,0,0
130,70,152,58,9,3,3,2,0,13,1,2,5,0,0,0,3,144,24,34,15,199,0,0,0,0
12,10,6,12,2,1,3,6,221,13,6,0,1,116,332,47,300,173,207,0,81,43,0,0,0,0
0,0,0,0,147,343,603,399,182,0,137,121,45,0,0,0,0,0,0,78,210,0,0,0,0,0
32,48,21,49,20,5,1,17,10,1,4,1,0,12,10,1,12,0,2,12,8,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,89,8,33,52,119,109,190,38,81,53,55,19,56,139,78,19,231,97,11,243,130,0,0,0,0
0,78,8,13,11,25,14,54,23,35,15,8,5,8,10,12,7,25,8,5,11,121,0,0,0,0
11,11,0,20,32,45,67,120,15,46,38,46,14,10,9,15,9,99,6,6,0,5,0,0,0,0
0,0,0,0,9,49,28,16,0,0,0,1,0,38,120,51,3,107,83,0,232,4,0,0,0,0
7,3,4,7,13,5,4,5,3,4,3,1,5,162,234,696,111,125,178,361,158,354,0,0,0,0
7,3,4,7,13,5,4,5,3,1,3,1,5,1,3,0,5,23,8,1,4,99,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,161,231,696,106,102,170,360,154,255,0,0,0,0
455,369,615,404,413,207,352,479,687,280,286,329,267,483,412,325,563,358,258,341,503,664,0,0,0,0
205,129,363,96,182,33,58,136,289,166,109,77,53,8,2,69,326,267,26,47,55,278,0,0,0,0
53,2,0,0,6,4,30,70,252,140,1,0,0,0,0,4,278,156,0,0,0,0,0,0,0,0
0,0,8,11,7,0,0,18,13,4,2,63,1,0,0,4,5,0,1,1,1,0,0,0,0,0
57,100,271,50,39,0,0,0,0,8,82,0,45,0,0,59,2,3,0,0,1,241,0,0,0,0
84,6,65,4,117,1,1,6,15,1,0,2,2,0,2,0,0,6,0,0,51,3,0,0,0,0
11,21,19,31,13,28,27,42,9,13,24,12,5,8,0,2,41,103,25,46,2,34,0,0,0,0
17,20,22,55,25,30,132,221,331,27,119,138,172,438,355,206,148,46,151,266,368,311,0,0,0,0
10,9,11,41,18,16,15,19,14,12,20,22,11,79,12,8,32,13,10,8,32,44,0,0,0,0
3,8,3,3,1,4,9,4,1,0,12,44,50,122,104,70,40,5,38,1,2,3,0,0,0,0
4,3,8,11,6,10,108,198,316,15,87,72,111,237,239,128,76,28,103,257,334,264,0,0,0,0
133,169,185,219,177,130,134,94,45,74,48,100,26,26,28,31,80,34,45,21,51,62,0,0,0,0
